股票代码,股票名称,组织形式,公司全称,英文名称,所属行业,注册资本,董事长,地域,办公地址,公司网址,董事会秘书,董秘电话,董秘邮箱,成立日期,上市日期,募资资金总额,发行价格,发行市盈率
600000,浦发银行,国有相对控股企业,上海浦东发展银行股份有限公司,"Shanghai Pudong Development Bank Co.,Ltd.",金融业,"1,865,347万元",吉晓辉,上海,上海市中山东一路12号,www.spdb.com.cn,沈思,021-63611226,shens2@spdb.com.cn,1992/10/19,1999/11/10,"400,000万元
            ","10.00元
            ","26.30%
            "
600004,白云机场,国有企业,广州白云国际机场股份有限公司,Guangzhou Baiyun International Airport Company Limited,交通物流,"115,000万元",刘建强,广东,广州白云国际机场南工作区自编一号股份公司本部办公大楼,www.gbiac.net,,--,--,2000/9/19,2003/4/28,"235,200万元
            ","5.88元
            ","12.25%
            "
600005,武钢股份,国有企业,武汉钢铁股份有限公司,Wuhan Iron And Steel Company Limited,黑色金属,"1,009,378万元",邓崎琳,湖北,武汉市青山区厂前,www.wisco.com.cn,万毅,027-86802031,wiscl@wisco.com.cn,1997/11/7,1999/8/3,"137,600万元
            ","4.30元
            ","14.10%
            "
600006,东风汽车,国有企业,东风汽车股份有限公司,"Dongfeng Automobile Co.,Ltd.",汽车制造,"200,000万元",朱福寿,湖北,湖北省武汉市经济技术开发区创业路58号,www.dfac.com,张新峰,027-84287977,zhangxinfeng@dfac.com,1999/7/15,1999/7/27,"153,000万元
            ","5.10元
            ","14.33%
            "
600007,中国国贸,民营相对控股企业,中国国际贸易中心股份有限公司,"China World Trade Center Co.,Ltd.",房地产业,"100,728万元",洪敬南,北京,北京市建国门外大街1号,www.cwtc.com,王京京,010-65052288,dongmi@cwtc.com,1997/10/15,1999/3/12,"87,360万元
            ","5.46元
            ","19.80%
            "
600008,首创股份,国有企业,北京首创股份有限公司,"Beijing Capital Co.,ltd.",水电燃气,"220,000万元",刘晓光,北京,北京市朝阳区北三环东路八号静安中心三层,www.capitalwater.cn,郭鹏,010-64689035,securities@capitalwater.cn,1999/8/31,2000/4/27,"269,400万元
            ","8.98元
            ","23.03%
            "
600009,上海机场,国有企业,上海国际机场股份有限公司,"Shanghai International Airport Co.,Ltd.",交通物流,"192,696万元",贾锐军,上海,上海市浦东新区启航路900号,www.shairport.com,黄晔,021-68341609,ir@shairport.com,1998/2/11,1998/2/18,"192,300万元
            ","6.41元
            ","14.90%
            "
600010,包钢股份,国有企业,内蒙古包钢钢联股份有限公司,"Inner Mongolia BaoTou Steel Union Co.,Ltd.",黑色金属,"1,600,518万元",周秉利,内蒙古,包钢信息大楼东副楼,--,董林,0472-2189515,glgfzqb@126.com,1999/6/29,2001/3/9,"181,300万元
            ","5.18元
            ","18.50%
            "
600011,华能国际,国有企业,华能国际电力股份有限公司,"Huaneng Power International,Inc.",水电燃气,"1,442,038万元",曹培玺,北京,北京市西城区复兴门内大街6号楼华能大厦,www.hpi.com.cn,杜大明,010-63226999,ddm@hpi.com.cn,1994/6/30,2001/12/6,"--万元
            ","--元
            ","--%
            "
600012,皖通高速,国有企业,安徽皖通高速公路股份有限公司,Anhui Expressway Company Limited,交通物流,"165,861万元",周仁强,安徽,"安徽省合肥市望江西路520号,香港康乐广场1号怡和大厦5楼",www.anhui-expressway.net,韩榕,0551-65338697,wtgs@anhui-expressway.net,1996/8/15,2003/1/7,"87,261万元
            ","1.77元
            ","--%
            "
